Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,arrival_year,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,type_of_meal_plan_Meal Plan 2,type_of_meal_plan_Meal Plan 3,type_of_meal_plan_Not Selected,room_type_reserved_Room_Type 2,room_type_reserved_Room_Type 3,room_type_reserved_Room_Type 4,room_type_reserved_Room_Type 5,room_type_reserved_Room_Type 6,room_type_reserved_Room_Type 7,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online,booking_status_Not_Canceled
INN00044,2,0,1,1,0,41,2018,6,27,0,0,0,98.1,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False
INN00048,2,0,0,1,0,55,2018,4,6,0,0,0,104.0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00049,2,0,0,4,0,57,2018,11,1,0,0,0,79.2,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00052,2,0,2,2,0,169,2018,4,22,0,0,0,106.0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00055,2,0,1,0,0,13,2018,6,13,0,0,0,89.0,2,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00056,2,0,1,3,0,100,2018,5,19,0,0,0,136.0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00057,2,0,0,1,0,139,2018,7,28,0,0,0,94.5,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00058,2,0,1,2,0,117,2018,12,26,0,0,0,93.6,2,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00059,2,0,1,4,0,39,2018,4,20,0,0,0,120.6,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False
INN00060,2,0,0,3,0,86,2018,4,6,0,0,0,99.3,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True
INN00065,2,0,2,1,0,86,2018,12,18,0,0,0,75.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00066,2,0,0,3,0,30,2018,10,5,0,0,0,157.5,2,False,False,False,False,False,True,False,False,False,False,False,False,True,True
INN00067,2,0,0,2,0,179,2018,6,3,0,0,0,97.7,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True
INN00068,2,0,0,2,0,26,2018,4,15,0,0,0,142.0,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False
INN00069,2,0,0,1,0,55,2018,4,6,0,0,0,80.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00070,2,0,1,2,0,74,2018,4,25,0,0,0,85.5,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00071,2,0,0,3,0,143,2018,8,25,0,0,0,100.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00072,2,0,1,0,0,34,2018,11,14,0,0,0,88.0,2,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00074,2,0,0,2,0,177,2018,6,3,0,0,0,100.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00076,2,0,1,4,0,18,2018,3,9,0,0,0,116.8,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True
INN00078,2,0,1,2,0,64,2018,6,27,0,0,0,111.9,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00080,2,0,0,5,0,46,2018,3,29,0,0,0,75.0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00082,2,0,0,5,0,128,2018,10,11,0,0,0,132.3,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False
INN00083,2,0,2,0,0,20,2018,12,25,0,0,0,88.0,2,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00084,2,0,1,4,0,40,2018,3,14,0,0,0,98.82,0,False,False,False,False,False,True,False,False,False,False,False,False,True,True
INN00087,2,0,2,3,0,196,2018,9,4,0,0,0,96.05,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00090,2,0,0,3,0,146,2018,8,9,0,0,0,113.56,0,False,False,False,False,False,False,True,False,False,False,False,True,False,True
INN00091,2,0,1,3,0,110,2018,5,5,0,0,0,101.58,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00093,2,0,2,1,0,73,2018,4,9,0,0,0,115.8,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True
INN00094,2,0,0,1,0,92,2018,5,19,0,0,0,149.4,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True
INN00095,2,0,2,5,0,171,2018,8,30,0,0,0,111.59,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00098,2,0,0,4,0,118,2018,4,13,0,0,0,90.95,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00099,2,0,0,3,0,30,2018,11,17,0,0,0,76.08,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00101,2,0,1,0,0,189,2018,10,23,0,0,0,85.5,2,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00106,2,0,0,3,0,8,2018,2,16,0,0,0,64.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00109,2,0,0,1,0,12,2018,6,30,0,0,0,101.68,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00111,2,0,0,2,0,182,2018,9,30,0,0,0,117.9,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00112,2,0,1,0,0,1,2018,6,27,0,0,0,127.0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00113,2,0,0,3,0,122,2018,6,16,0,0,0,116.1,2,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00114,2,0,2,3,0,40,2018,6,30,0,0,0,117.9,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00122,2,0,0,2,0,286,2018,9,16,0,0,0,58.5,0,True,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00123,2,0,1,3,0,68,2018,3,10,0,0,0,73.95,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00124,2,0,0,3,0,148,2018,5,5,0,0,0,105.3,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00126,2,0,0,2,0,30,2018,3,30,0,0,0,85.5,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00130,2,0,1,4,0,85,2018,7,13,0,0,0,91.48,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True
INN00131,2,0,0,2,0,1,2018,10,20,0,0,0,135.0,2,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00133,2,0,2,4,0,289,2018,12,28,0,0,0,70.55,2,False,False,True,False,False,False,False,False,False,False,False,False,True,False
INN00138,2,0,2,5,0,155,2018,6,28,0,0,0,90.95,2,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00142,2,0,0,2,0,245,2018,6,17,0,0,0,75.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00143,2,0,0,2,0,11,2018,11,18,0,0,0,111.0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00144,2,0,2,2,0,266,2018,10,30,0,0,0,86.7,2,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00145,2,0,1,0,0,39,2018,3,28,0,0,0,117.9,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00147,2,0,0,4,0,112,2018,5,4,0,0,0,101.58,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00148,2,0,1,2,0,88,2018,4,8,0,0,0,58.9,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00149,2,0,0,1,0,56,2018,6,8,0,0,0,120.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00150,2,0,2,3,0,73,2018,4,7,0,0,0,107.1,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False
INN00151,2,0,1,1,0,80,2018,5,2,0,0,0,126.9,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00152,2,0,0,3,0,130,2018,9,29,0,0,0,139.5,2,False,False,False,False,False,True,False,False,False,False,False,False,True,False
INN00153,2,0,1,3,0,69,2018,4,4,0,0,0,80.75,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00155,2,0,0,1,0,55,2018,4,6,0,0,0,104.0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00157,2,0,0,3,0,97,2018,5,24,0,0,0,140.4,0,False,False,False,False,False,True,False,False,False,False,False,False,True,True
INN00158,2,0,0,3,0,44,2018,2,17,0,0,0,75.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00159,2,0,0,1,0,31,2018,4,14,0,0,0,94.5,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False
INN00160,2,0,1,0,0,0,2018,6,5,0,0,0,109.0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00161,2,0,2,2,0,62,2018,11,12,0,0,0,105.0,2,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00162,2,0,2,2,0,86,2018,4,17,0,0,0,107.95,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True
INN00164,2,0,1,1,0,197,2018,8,1,0,0,0,85.5,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00165,2,0,0,2,0,143,2018,7,12,0,0,0,105.3,2,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00167,2,0,0,2,0,8,2018,6,15,0,0,0,156.0,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False
INN00169,2,0,1,2,0,280,2018,9,19,0,0,0,110.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00172,2,0,1,2,0,185,2018,12,16,0,0,0,79.2,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False
INN00173,2,0,1,3,0,160,2018,6,30,0,0,0,90.95,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00174,2,0,0,4,0,104,2018,10,18,0,0,0,91.48,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00176,2,0,0,1,0,2,2018,3,22,0,0,0,89.0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00177,2,0,1,4,0,14,2018,8,17,0,0,0,91.43,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00178,2,0,0,2,0,22,2018,5,20,0,0,0,140.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00182,2,0,1,3,0,86,2018,3,31,0,0,0,82.45,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00183,2,0,0,1,0,109,2018,10,11,0,0,0,108.0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False
INN00184,2,0,1,1,0,72,2018,4,2,0,0,0,96.3,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True
INN00185,2,0,1,5,0,196,2018,8,22,0,0,0,99.45,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00186,2,0,0,2,0,56,2018,5,13,0,0,0,140.4,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True
INN00187,2,0,1,3,0,189,2018,8,8,0,0,0,72.25,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00188,2,0,1,4,0,126,2018,8,15,0,0,0,126.0,0,False,False,False,False,False,True,False,False,False,False,False,False,True,True
INN00191,2,0,1,2,0,54,2018,10,10,0,0,0,118.8,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00193,2,0,0,4,0,86,2018,4,6,0,0,0,84.58,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00194,2,0,1,2,0,161,2018,3,25,0,0,0,130.0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00196,2,0,1,2,0,92,2018,5,30,0,0,0,101.52,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00198,2,0,2,1,0,109,2018,3,20,0,0,0,58.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00199,2,0,0,4,0,127,2018,3,23,0,0,0,61.5,2,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00201,2,0,1,4,0,156,2018,8,24,0,0,0,87.3,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00203,2,0,2,2,0,211,2018,12,16,0,0,0,63.75,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False
INN00204,2,0,1,2,0,273,2018,5,13,0,0,0,95.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00205,2,0,2,1,0,58,2018,11,19,0,0,0,75.0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00207,2,0,1,3,0,111,2018,5,2,0,0,0,101.58,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00208,2,0,2,3,0,34,2018,8,21,0,0,0,85.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00209,2,0,2,4,0,17,2018,12,3,0,0,0,98.39,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00212,2,0,1,1,0,32,2018,7,18,0,0,0,105.0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00215,2,0,2,2,0,119,2018,8,13,0,0,0,114.3,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00222,2,0,0,1,0,118,2018,3,1,0,0,0,86.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00223,2,0,1,5,0,56,2018,9,5,0,0,0,118.95,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00224,2,0,0,2,0,107,2018,6,10,0,0,0,130.0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00225,2,0,1,3,0,70,2018,4,14,0,0,0,90.56,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00226,2,0,0,2,0,76,2018,4,1,0,0,0,87.3,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00237,2,0,0,2,0,117,2018,4,29,0,0,0,105.84,0,False,False,False,False,False,False,True,False,False,False,False,False,True,False
INN00238,2,0,1,3,0,36,2018,12,26,0,0,0,102.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00239,2,0,2,2,0,35,2018,12,2,0,0,0,74.8,2,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00240,2,0,1,0,0,31,2018,4,24,0,0,0,94.5,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False
INN00241,2,0,2,4,0,79,2018,6,16,0,0,0,120.6,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00244,2,0,0,2,0,12,2018,9,14,0,0,0,100.0,1,False,False,True,False,False,False,False,False,False,False,True,False,False,True
INN00245,2,0,1,0,0,33,2018,2,8,0,0,0,80.3,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00248,2,0,0,4,0,18,2018,5,31,0,0,0,112.8,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False
INN00249,2,0,1,2,0,21,2018,8,15,0,0,0,151.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00253,2,0,0,4,0,177,2018,7,26,0,0,0,80.75,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False
INN00254,2,0,1,1,0,47,2018,5,21,0,0,0,76.5,0,False,False,True,False,False,False,False,False,False,False,False,True,False,True
INN00259,2,0,0,3,0,71,2018,10,18,0,0,0,108.0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00262,2,0,1,1,0,4,2018,1,16,0,0,0,67.5,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00270,2,0,0,2,0,122,2018,4,15,0,0,0,85.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00272,2,0,2,4,0,28,2018,8,28,0,0,0,115.37,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00273,2,0,1,2,0,161,2018,3,25,0,0,0,130.0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00275,2,0,1,0,0,19,2018,6,12,0,0,0,94.35,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00282,2,0,1,3,0,41,2018,5,9,0,0,0,116.1,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False
INN00283,2,0,0,4,0,167,2018,6,28,0,0,0,62.18,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False
INN00284,2,0,0,4,0,62,2018,3,9,0,0,0,63.75,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False
INN00291,2,0,1,3,0,80,2018,3,17,0,0,0,80.33,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00292,2,0,1,1,0,7,2018,8,22,0,0,0,140.0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00294,2,0,2,1,0,100,2018,5,1,0,0,0,105.3,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00295,2,0,2,1,0,118,2018,4,3,0,0,0,87.3,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00298,2,0,2,2,0,174,2018,8,13,0,0,0,99.45,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00300,2,0,2,6,0,2,2018,11,16,0,0,0,92.54,2,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00304,2,0,1,2,0,189,2018,10,28,0,0,0,109.8,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False
INN00305,2,0,1,0,0,10,2018,5,16,0,0,0,103.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00307,2,0,0,2,0,61,2018,3,23,0,0,0,117.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00310,2,0,1,3,0,37,2018,8,1,0,0,0,135.9,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00311,2,0,1,0,0,19,2018,7,25,0,0,0,151.0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00314,2,0,2,5,0,151,2018,7,9,0,0,0,103.09,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00315,2,0,2,1,0,26,2018,2,28,0,0,0,87.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00317,2,0,0,2,0,79,2018,6,24,0,0,0,109.0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00318,2,0,1,1,0,247,2018,6,6,0,0,0,115.0,1,True,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00319,2,0,2,3,0,189,2018,7,17,0,0,0,99.45,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True
INN00323,2,0,0,2,0,245,2018,6,17,0,0,0,75.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00326,2,0,0,2,0,46,2018,11,11,0,0,0,79.2,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False
INN00330,2,0,0,2,0,67,2018,5,27,0,0,0,140.4,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True
INN00337,2,0,2,2,0,38,2018,10,2,0,0,0,126.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00338,2,0,1,1,0,175,2018,7,23,0,0,0,85.5,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00339,2,0,0,3,0,143,2018,8,18,0,0,0,140.7,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False
INN00340,2,0,2,2,0,127,2018,6,26,0,0,0,103.7,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True
INN00344,2,0,0,3,0,45,2018,11,10,0,0,0,75.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00349,2,0,0,1,0,0,2018,2,24,0,0,0,97.0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00351,2,0,0,4,0,85,2018,3,29,0,0,0,82.45,0,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00355,2,0,2,2,0,77,2018,5,14,0,0,0,134.85,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True
INN00358,2,0,1,3,0,133,2018,6,13,0,0,0,76.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00360,2,0,2,0,0,19,2018,9,18,0,0,0,95.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00363,2,0,0,1,0,65,2018,9,22,0,0,0,135.9,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00364,2,0,0,2,0,1,2018,11,16,0,0,0,130.0,1,False,False,False,False,False,True,False,False,False,False,False,False,True,True
INN00367,2,0,2,3,0,87,2018,6,26,0,0,0,141.3,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00368,2,0,1,1,0,159,2018,4,9,0,0,0,70.0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00369,2,0,2,3,0,39,2018,8,13,0,0,0,170.1,2,True,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00372,2,0,2,2,0,102,2018,7,10,0,0,0,82.45,0,False,False,False,False,False,True,False,False,False,False,False,True,False,True
INN00375,2,0,2,6,0,36,2018,12,10,0,0,0,68.07,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00376,2,0,0,3,0,50,2018,10,4,0,0,0,118.8,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00377,2,0,0,2,0,115,2018,10,27,0,0,0,104.4,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False
INN00379,2,0,1,3,0,35,2018,3,3,0,0,0,71.1,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False
INN00380,2,0,2,1,0,17,2018,5,21,0,0,0,95.0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00382,2,0,0,4,0,125,2018,9,7,0,0,0,136.0,2,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00384,2,0,2,0,0,5,2018,9,18,0,0,0,123.7,0,False,False,True,False,False,False,False,False,False,False,False,True,False,True
INN00385,2,0,2,1,0,91,2018,6,19,0,0,0,135.9,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00394,2,0,0,2,0,58,2018,3,4,0,0,0,80.3,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00395,2,0,2,1,0,54,2018,4,30,0,0,0,85.0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,True
INN00399,2,0,1,2,0,273,2018,5,13,0,0,0,95.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00400,2,0,0,1,0,29,2018,3,18,0,0,0,79.0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00401,2,0,0,1,0,221,2018,8,12,0,0,0,80.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00402,2,0,2,2,0,213,2018,10,1,0,0,0,102.85,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00403,2,0,1,2,0,198,2018,9,9,0,0,0,90.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00404,2,0,1,2,0,81,2018,1,29,0,0,0,62.37,2,False,False,False,True,False,False,False,False,False,False,False,False,True,True
INN00405,2,0,0,1,0,23,2018,4,8,0,0,0,98.0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00407,2,0,2,1,0,20,2018,6,18,0,0,0,141.0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00410,2,0,0,1,0,167,2018,8,6,0,0,0,105.3,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00411,2,0,1,3,0,71,2018,5,30,0,0,0,119.85,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00412,2,0,0,2,0,48,2018,11,4,0,0,0,97.2,2,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00420,2,0,1,1,0,180,2018,5,2,0,0,0,100.0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00421,2,0,1,3,0,122,2018,11,14,0,0,0,75.9,2,False,False,True,False,False,False,False,False,False,False,False,False,True,False
INN00423,2,0,2,2,0,24,2018,5,29,0,0,0,104.55,2,False,False,False,False,False,False,False,False,False,False,False,False,True,True
INN00427,2,0,0,4,0,236,2018,9,27,0,0,0,84.43,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False
INN00428,2,0,2,3,0,120,2018,4,8,0,0,0,90.95,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00430,2,0,2,4,0,224,2018,9,3,0,0,0,97.18,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00435,2,0,0,2,0,15,2018,2,16,0,0,0,91.0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00436,2,0,0,5,0,230,2018,9,6,0,0,0,137.0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00437,2,0,0,4,0,54,2018,3,16,0,0,0,67.32,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True
INN00440,2,0,2,1,0,166,2018,8,6,0,0,0,94.5,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True
INN00441,2,0,1,4,0,148,2018,8,22,0,0,0,96.3,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False
INN00442,2,0,2,1,0,136,2018,8,13,0,0,0,88.01,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True
